Category,TotalSalesQuantity,TotalSalesAmount,AverageSalesAmount
Electronics,878,384450.0,3125.609756097561
Furniture,342,74290.0,964.8051948051948
Appliances,651,51210.0,457.23214285714283
Apparel,1033,45420.0,597.6315789473684
Accessories,385,10450.0,550.0
Sports,216,10090.0,672.6666666666666
Furniture,10,6800.0,2266.6666666666665
Footwear,67,5450.0,908.3333333333334
Fitness,130,3350.0,478.57142857142856
Home Decor,196,3225.0,293.1818181818182
Sports and Outdoors,48,1560.0,195.0
Personal Care,73,1420.0,355.0
Books,72,1400.0,175.0
Musical Instruments,3,900.0,900.0
Outdoor,19,780.0,195.0
Garden and Outdoor Living,24,720.0,180.0
Office Supplies,34,635.0,211.66666666666666
Baby and Nursery,40,600.0,150.0
Beauty and Personal Care,12,540.0,135.0
Kitchen,48,480.0,120.0
Toys and Games,20,400.0,100.0
Toys,30,300.0,300.0
Home and Kitchen,12,300.0,100.0
Kitchenware,6,120.0,120.0
Office Furniture,2,80.0,80.0
