Date,TotalSalesQuantity,TotalSalesAmount
2023-06-01,50,48000.0
2023-02-01,40,38000.0
2023-03-01,40,38000.0
2024-01-01,33,14610.0
2023-08-01,15,12500.0
2023-12-01,13,12400.0
2023-10-01,13,12400.0
2023-11-01,13,12400.0
2023-03-05,20,8840.0
2023-08-02,23,7600.0
2023-02-08,23,7150.0
2023-08-07,8,7000.0
2023-08-08,25,6600.0
2023-07-02,10,6560.0
2023-03-11,30,6360.0
2023-07-01,8,6300.0
2023-03-13,12,5600.0
2024-01-05,26,5440.0
2024-01-13,3,4500.0
2023-10-13,3,4500.0
2023-06-10,15,4500.0
2023-12-13,3,4500.0
2023-11-13,3,4500.0
2023-08-19,7,4450.0
2023-06-23,7,4200.0
2023-03-04,75,4100.0
2023-02-05,13,4100.0
2023-06-11,8,4000.0
2024-01-04,28,3850.0
2023-03-03,35,3600.0
2024-01-21,7,3500.0
2023-03-18,11,3500.0
2023-10-21,7,3500.0
2023-12-21,7,3500.0
2023-06-20,5,3500.0
2023-11-21,7,3500.0
2023-02-03,80,3400.0
2023-03-02,40,3400.0
2023-06-04,40,3200.0
2023-06-18,12,3000.0
2023-03-10,33,2950.0
2023-02-09,8,2850.0
2023-08-15,13,2800.0
2023-03-07,32,2780.0
2023-08-04,7,2760.0
2023-06-17,18,2700.0
2024-01-02,28,2610.0
2023-01-01,5,2500.0
2023-09-01,5,2500.0
2023-02-12,13,2460.0
2023-07-10,8,2450.0
2023-02-04,27,2400.0
2023-05-01,3,2400.0
2023-04-01,3,2400.0
2023-06-06,12,2400.0
2023-03-09,10,2340.0
2023-08-13,9,2320.0
2023-03-22,17,2250.0
2023-06-02,15,2250.0
2024-01-03,34,2240.0
2023-02-02,30,2200.0
2023-02-19,14,2200.0
2023-03-21,44,2200.0
2023-02-11,52,2160.0
2023-08-12,25,2130.0
2023-02-16,14,2100.0
2023-02-10,17,2050.0
2023-02-13,25,2050.0
2023-08-16,17,2050.0
2023-02-06,50,2000.0
2023-03-16,12,2000.0
2023-09-05,2,2000.0
2023-01-05,2,2000.0
2023-05-06,2,2000.0
2023-04-06,2,2000.0
2023-10-05,2,2000.0
2023-12-05,2,2000.0
2023-11-05,2,2000.0
2023-03-08,65,1900.0
