ProductName,TotalSalesQuantity,TotalSalesAmount
Smartphone,140,112000.0
Laptop,89,106800.0
Tablet,69,29400.0
Desktop Computer,16,22000.0
LED TV,18,18000.0
Gaming Console,44,17600.0
TV,19,16500.0
Digital Camera,27,15000.0
Running Shoes,179,14320.0
Desk Chair,85,13150.0
Couch,21,13000.0
Headphones,129,11750.0
Sofa,21,10800.0
Dining Table,30,7900.0
Bed,10,6800.0
Sneakers,76,6280.0
Smartwatch,48,6150.0
Jeans,103,6140.0
Vacuum Cleaner,45,6120.0
Microwave,64,6020.0
T-shirt,295,5900.0
Refrigerator,7,5600.0
Bed Frame,8,5600.0
Smart TV,6,5400.0
Blender,111,5350.0
Coffee Maker,73,5300.0
Hiking Boots,49,5020.0
Office Desk,20,5000.0
Desk,29,4890.0
Wireless Speaker,24,4800.0
Monitor,15,4500.0
Bookshelf,27,4260.0
Fitness Tracker,68,4060.0
Toaster,111,3620.0
Backpack,118,3490.0
Running Shorts,145,3475.0
Winter Jacket,23,3240.0
Coffee Table,31,3080.0
Dress,47,2990.0
Yoga Mat,145,2840.0
Washing Machine,5,2800.0
Oven,10,2500.0
Air Purifier,23,2450.0
Treadmill,3,2400.0
Dumbbells,43,2050.0
Running Jacket,44,2020.0
Dishwasher,6,2000.0
Office Chair,18,1960.0
Hair Dryer,47,1890.0
Bluetooth Speaker,33,1890.0
Printer,18,1640.0
Rice Cooker,24,1610.0
Chair,20,1600.0
Hoodie,40,1600.0
Sunglasses,38,1440.0
Printers,8,1440.0
Blu-ray Player,15,1400.0
Air Fryer,15,1250.0
Soundbar,8,1200.0
Watch,8,1200.0
Desk Lamp,60,1165.0
Water Bottle,112,1120.0
Gym Bag,40,1100.0
Umbrella,63,945.0
Gaming Chair,3,900.0
Guitar,3,900.0
TV Stand,4,800.0
Iron,20,800.0
Socks,80,800.0
Hiking Backpack,16,800.0
Cookbook,32,800.0
Cookware Set,5,750.0
Portable Charger,30,750.0
Handbag,15,750.0
Gardening Tools,24,720.0
Puzzle,50,700.0
Bluetooth Earbuds,15,600.0
Bedside Table,15,600.0
Digital Watch,12,600.0
Camping Tent,6,600.0
Book,40,600.0
Baby Onesies,40,600.0
Tennis Racket,10,600.0
Candle Holder,40,600.0
Desk Organizer,29,560.0
Graphic Tablet,8,560.0
Electric Kettle,15,525.0
Waffle Maker,10,500.0
Food Processor,10,500.0
Soccer Ball,25,500.0
Baseball Glove,12,480.0
Cooking Utensils,48,480.0
Wireless Mouse,20,460.0
Throw Pillow,30,450.0
Basketball,15,450.0
Running Socks,45,450.0
Hand Mixer,19,440.0
External Hard Drive,7,420.0
Carpet,5,400.0
Candles,40,400.0
Toothbrush,40,400.0
Handheld Vacuum,10,400.0
Wireless Earbuds,10,400.0
Coffeemaker,10,400.0
External SSD,5,400.0
Baseball Bat,8,400.0
Golf Clubs,2,400.0
Hand Blender,15,375.0
Wall Clock,12,360.0
Rolling Chair,5,350.0
Electric Toothbrush,8,320.0
Slow Cooker,4,320.0
Coffee Grinder,8,310.0
Bicycle,1,300.0
Winter Boots,4,280.0
Blow Dryer,10,250.0
Plant,10,250.0
Toaster Oven,5,250.0
Jewelry Box,15,225.0
Sandals,8,200.0
Jump Rope,20,200.0
Digital Photo Frame,6,180.0
Shorts,7,175.0
Jacket,2,160.0
Cycling Helmet,4,160.0
Gaming Mouse,3,150.0
Teapot,6,120.0
Desk Fan,6,120.0
Alarm Clock,10,100.0
Mirror,2,100.0
Pillow,4,100.0
Laptop Stand,2,80.0
Printer Ink,5,75.0
