Date,Quantity,Amount,RollingAverageSalesQuantity,RollingAverageSalesAmount
2023-01-01,3,2400.0,3.0,2400.0
2023-01-01,2,100.0,2.5,1250.0
2023-01-02,1,300.0,2.0,933.3333333333334
2023-01-03,5,400.0,2.75,800.0
2023-01-04,10,150.0,4.2,670.0
2023-01-05,2,2000.0,3.8333333333333335,891.6666666666666
2023-01-06,3,120.0,3.7142857142857144,781.4285714285714
2023-01-07,15,300.0,5.428571428571429,481.42857142857144
2023-01-08,4,400.0,5.714285714285714,524.2857142857143
2023-01-09,2,240.0,5.857142857142857,515.7142857142857
2023-01-10,1,1200.0,5.285714285714286,630.0
2023-01-11,4,120.0,4.428571428571429,625.7142857142857
2023-01-12,6,540.0,5.0,417.14285714285717
2023-01-13,8,200.0,5.714285714285714,428.57142857142856
2023-01-14,2,1600.0,3.857142857142857,614.2857142857143
2023-01-15,1,600.0,3.4285714285714284,642.8571428571429
2023-01-16,7,140.0,4.142857142857143,628.5714285714286
2023-01-17,3,360.0,4.428571428571429,508.57142857142856
2023-01-18,4,600.0,4.428571428571429,577.1428571428571
2023-01-19,2,1000.0,3.857142857142857,642.8571428571429
2023-01-20,1,200.0,2.857142857142857,642.8571428571429
2023-01-21,5,250.0,3.2857142857142856,450.0
2023-01-22,1,150.0,3.2857142857142856,385.7142857142857
2023-01-23,8,480.0,3.4285714285714284,434.2857142857143
2023-01-24,6,180.0,3.857142857142857,408.57142857142856
2023-01-25,2,800.0,3.5714285714285716,437.14285714285717
2023-01-26,10,150.0,4.714285714285714,315.7142857142857
2023-01-27,12,120.0,6.285714285714286,304.2857142857143
2023-01-28,5,100.0,6.285714285714286,282.85714285714283
2023-01-29,3,135.0,6.571428571428571,280.7142857142857
2023-01-30,4,100.0,6.0,226.42857142857142
2023-01-31,2,140.0,5.428571428571429,220.71428571428572
2023-02-01,15,18000.0,7.285714285714286,2677.8571428571427
2023-02-01,25,20000.0,9.428571428571429,5513.571428571428
2023-02-02,10,1000.0,9.142857142857142,5639.285714285715
2023-02-02,20,1200.0,11.285714285714286,5796.428571428572
2023-02-03,30,2400.0,15.142857142857142,6120.0
2023-02-03,50,1000.0,21.714285714285715,6248.571428571428
2023-02-04,12,1800.0,23.142857142857142,6485.714285714285
2023-02-04,15,600.0,23.142857142857142,4000.0
2023-02-05,8,1600.0,20.714285714285715,1371.4285714285713
2023-02-05,5,2500.0,20.0,1585.7142857142858
2023-02-06,10,800.0,18.571428571428573,1528.5714285714287
2023-02-06,40,1200.0,20.0,1357.142857142857
2023-02-07,20,1000.0,15.714285714285714,1357.142857142857
2023-02-07,25,500.0,17.571428571428573,1171.4285714285713
2023-02-08,15,750.0,17.571428571428573,1192.857142857143
2023-02-08,8,6400.0,17.571428571428573,1878.5714285714287
2023-02-09,5,750.0,17.571428571428573,1628.5714285714287
2023-02-09,3,2100.0,16.571428571428573,1814.2857142857142
2023-02-10,10,1000.0,12.285714285714286,1785.7142857142858
2023-02-10,7,1050.0,10.428571428571429,1792.857142857143
2023-02-11,12,960.0,8.571428571428571,1858.5714285714287
2023-02-11,40,1200.0,12.142857142857142,1922.857142857143
2023-02-12,5,1500.0,11.714285714285714,1222.857142857143
2023-02-12,8,960.0,12.142857142857142,1252.857142857143
2023-02-13,15,1050.0,13.857142857142858,1102.857142857143
2023-02-13,10,1000.0,13.857142857142858,1102.857142857143
2023-02-14,30,750.0,17.142857142857142,1060.0
2023-02-14,50,500.0,22.571428571428573,994.2857142857143
2023-02-15,20,400.0,19.714285714285715,880.0
2023-02-15,30,450.0,23.285714285714285,730.0
2023-02-16,4,1600.0,22.714285714285715,821.4285714285714
2023-02-16,10,500.0,22.0,742.8571428571429
2023-02-17,7,840.0,21.571428571428573,720.0
2023-02-17,15,600.0,19.428571428571427,698.5714285714286
2023-02-18,20,1200.0,15.142857142857142,798.5714285714286
2023-02-18,25,375.0,15.857142857142858,795.0
2023-02-19,12,600.0,13.285714285714286,816.4285714285714
2023-02-19,2,1600.0,13.0,816.4285714285714
2023-02-20,40,400.0,17.285714285714285,802.1428571428571
2023-02-20,10,250.0,17.714285714285715,717.8571428571429
2023-02-21,15,600.0,17.714285714285715,717.8571428571429
2023-02-21,8,480.0,16.0,615.0
2023-02-22,6,600.0,13.285714285714286,647.1428571428571
2023-02-22,12,360.0,13.285714285714286,612.8571428571429
2023-02-23,10,400.0,14.428571428571429,441.42857142857144
2023-02-23,20,500.0,11.571428571428571,455.7142857142857
2023-02-24,15,225.0,12.285714285714286,452.14285714285717
2023-02-24,30,300.0,14.428571428571429,409.2857142857143
2023-02-25,5,350.0,14.0,390.7142857142857
2023-02-25,25,500.0,16.714285714285715,376.42857142857144
2023-03-01,15,18000.0,17.142857142857142,2896.4285714285716
2023-03-01,25,20000.0,19.285714285714285,5696.428571428572
2023-03-02,10,1000.0,17.857142857142858,5767.857142857143
2023-03-02,30,2400.0,20.0,6078.571428571428
2023-03-03,20,3000.0,18.571428571428573,6464.285714285715
2023-03-03,15,600.0,20.0,6500.0
2023-03-04,40,2000.0,22.142857142857142,6714.285714285715
2023-03-04,35,2100.0,25.0,4442.857142857143
2023-03-05,12,840.0,23.142857142857142,1705.7142857142858
2023-03-05,8,8000.0,22.857142857142858,2705.714285714286
2023-03-06,18,540.0,21.142857142857142,2440.0
2023-03-06,5,1000.0,19.0,2154.285714285714
2023-03-07,10,800.0,18.285714285714285,2182.8571428571427
2023-03-07,22,1980.0,15.714285714285714,2180.0
2023-03-08,15,900.0,12.857142857142858,2008.5714285714287
2023-03-08,50,1000.0,18.285714285714285,2031.4285714285713
2023-03-09,7,840.0,18.142857142857142,1008.5714285714286
2023-03-09,3,1500.0,16.0,1145.7142857142858
2023-03-10,8,1200.0,16.428571428571427,1174.2857142857142
2023-03-10,25,1750.0,18.571428571428573,1310.0
2023-03-11,12,960.0,17.142857142857142,1164.2857142857142
2023-03-11,18,5400.0,17.571428571428573,1807.142857142857
2023-03-12,40,400.0,16.142857142857142,1721.4285714285713
2023-03-12,15,750.0,17.285714285714285,1708.5714285714287
2023-03-13,2,1600.0,17.142857142857142,1722.857142857143
2023-03-13,10,4000.0,17.428571428571427,2122.8571428571427
2023-03-14,7,840.0,14.857142857142858,1992.857142857143
2023-03-14,5,400.0,13.857142857142858,1912.857142857143
2023-03-15,12,1200.0,13.0,1312.857142857143
2023-03-15,20,400.0,10.142857142857142,1312.857142857143
2023-03-16,4,800.0,8.571428571428571,1320.0
2023-03-16,8,1200.0,9.428571428571429,1262.857142857143
2023-03-17,10,1000.0,9.428571428571429,834.2857142857143
2023-03-17,15,450.0,10.571428571428571,778.5714285714286
2023-03-18,5,2000.0,10.571428571428571,1007.1428571428571
2023-03-18,6,1500.0,9.714285714285714,1050.0
2023-03-19,20,800.0,9.714285714285714,1107.142857142857
2023-03-19,30,750.0,13.428571428571429,1100.0
2023-03-20,3,900.0,12.714285714285714,1057.142857142857
2023-03-20,50,500.0,18.428571428571427,985.7142857142857
2023-03-21,4,1200.0,16.857142857142858,1092.857142857143
2023-03-21,40,1000.0,21.857142857142858,950.0
2023-03-22,15,1050.0,23.142857142857142,885.7142857142857
2023-03-22,2,1200.0,20.571428571428573,942.8571428571429
2023-03-23,10,250.0,17.714285714285715,871.4285714285714
2023-03-23,8,320.0,18.428571428571427,788.5714285714286
2023-03-24,25,375.0,14.857142857142858,770.7142857142857
2023-03-24,20,600.0,17.142857142857142,685.0
2023-03-25,10,500.0,12.857142857142858,613.5714285714286
2023-03-25,30,450.0,15.0,527.8571428571429
2023-03-26,5,400.0,15.428571428571429,413.57142857142856
2023-03-26,15,300.0,16.142857142857142,420.7142857142857
2023-03-27,8,320.0,16.142857142857142,420.7142857142857
2023-03-27,12,540.0,14.285714285714286,444.2857142857143
2023-04-01,3,2400.0,11.857142857142858,701.4285714285714
2023-04-02,2,100.0,10.714285714285714,644.2857142857143
2023-04-03,1,300.0,6.571428571428571,622.8571428571429
2023-04-04,5,400.0,6.571428571428571,622.8571428571429
2023-04-05,10,150.0,5.857142857142857,601.4285714285714
2023-04-06,2,2000.0,5.0,841.4285714285714
2023-04-07,3,120.0,3.7142857142857144,781.4285714285714
2023-04-08,15,300.0,5.428571428571429,481.42857142857144
2023-04-09,4,400.0,5.714285714285714,524.2857142857143
2023-04-10,2,240.0,5.857142857142857,515.7142857142857
2023-04-11,1,1200.0,5.285714285714286,630.0
2023-04-12,4,120.0,4.428571428571429,625.7142857142857
2023-04-13,6,540.0,5.0,417.14285714285717
2023-04-14,8,200.0,5.714285714285714,428.57142857142856
2023-04-15,2,1600.0,3.857142857142857,614.2857142857143
2023-04-16,1,600.0,3.4285714285714284,642.8571428571429
2023-04-17,7,140.0,4.142857142857143,628.5714285714286
2023-04-18,3,360.0,4.428571428571429,508.57142857142856
2023-04-19,4,600.0,4.428571428571429,577.1428571428571
2023-04-20,2,1000.0,3.857142857142857,642.8571428571429
2023-04-21,1,200.0,2.857142857142857,642.8571428571429
2023-04-22,5,250.0,3.2857142857142856,450.0
2023-04-23,1,150.0,3.2857142857142856,385.7142857142857
2023-04-24,8,480.0,3.4285714285714284,434.2857142857143
2023-04-25,6,180.0,3.857142857142857,408.57142857142856
2023-04-26,2,800.0,3.5714285714285716,437.14285714285717
2023-04-27,10,150.0,4.714285714285714,315.7142857142857
2023-04-28,12,120.0,6.285714285714286,304.2857142857143
2023-04-29,5,100.0,6.285714285714286,282.85714285714283
2023-04-30,3,135.0,6.571428571428571,280.7142857142857
2023-05-01,3,2400.0,5.857142857142857,555.0
2023-05-02,2,100.0,5.285714285714286,543.5714285714286
2023-05-03,1,300.0,5.142857142857143,472.14285714285717
2023-05-04,5,400.0,4.428571428571429,507.85714285714283
2023-05-05,10,150.0,4.142857142857143,512.1428571428571
2023-05-06,2,2000.0,3.7142857142857144,783.5714285714286
2023-05-07,3,120.0,3.7142857142857144,781.4285714285714
2023-05-08,15,300.0,5.428571428571429,481.42857142857144
2023-05-09,4,400.0,5.714285714285714,524.2857142857143
2023-05-10,2,240.0,5.857142857142857,515.7142857142857
2023-05-11,1,1200.0,5.285714285714286,630.0
2023-05-12,4,120.0,4.428571428571429,625.7142857142857
2023-05-13,6,540.0,5.0,417.14285714285717
2023-05-14,8,200.0,5.714285714285714,428.57142857142856
2023-05-15,2,1600.0,3.857142857142857,614.2857142857143
2023-05-16,1,600.0,3.4285714285714284,642.8571428571429
2023-05-17,7,140.0,4.142857142857143,628.5714285714286
2023-05-18,3,360.0,4.428571428571429,508.57142857142856
2023-05-19,4,600.0,4.428571428571429,577.1428571428571
2023-05-20,2,1000.0,3.857142857142857,642.8571428571429
2023-05-21,1,200.0,2.857142857142857,642.8571428571429
2023-05-22,5,250.0,3.2857142857142856,450.0
2023-05-23,1,150.0,3.2857142857142856,385.7142857142857
2023-05-24,8,480.0,3.4285714285714284,434.2857142857143
2023-05-25,6,180.0,3.857142857142857,408.57142857142856
2023-05-26,2,800.0,3.5714285714285716,437.14285714285717
2023-05-27,10,150.0,4.714285714285714,315.7142857142857
2023-05-28,12,120.0,6.285714285714286,304.2857142857143
2023-05-29,5,100.0,6.285714285714286,282.85714285714283
2023-05-30,3,135.0,6.571428571428571,280.7142857142857
2023-05-31,4,100.0,6.0,226.42857142857142
2023-05-31,2,140.0,5.428571428571429,220.71428571428572
2023-06-01,20,24000.0,8.0,3535.0
2023-06-01,30,24000.0,10.857142857142858,6942.142857142857
2023-06-02,15,2250.0,11.285714285714286,7246.428571428572
2023-06-03,25,1500.0,14.142857142857142,7446.428571428572
2023-06-04,40,3200.0,19.428571428571427,7884.285714285715
2023-06-05,10,1000.0,20.285714285714285,8012.857142857143
2023-06-06,12,2400.0,21.714285714285715,8335.714285714286
2023-06-07,20,800.0,21.714285714285715,5021.428571428572
2023-06-08,50,1000.0,24.571428571428573,1735.7142857142858
2023-06-09,25,750.0,26.0,1521.4285714285713
2023-06-10,15,4500.0,24.571428571428573,1950.0
2023-06-11,8,4000.0,20.0,2064.285714285714
2023-06-12,30,750.0,22.857142857142858,2028.5714285714287
2023-06-13,35,525.0,26.142857142857142,1760.7142857142858
2023-06-14,10,1200.0,24.714285714285715,1817.857142857143
2023-06-15,15,1200.0,19.714285714285715,1846.4285714285713
2023-06-16,20,1000.0,19.0,1882.142857142857
2023-06-17,18,2700.0,19.428571428571427,1625.0
2023-06-18,12,3000.0,20.0,1482.142857142857
2023-06-19,8,560.0,16.857142857142858,1455.0
2023-06-20,5,3500.0,12.571428571428571,1880.0
2023-06-21,10,900.0,12.571428571428571,1837.142857142857
2023-06-22,45,450.0,16.857142857142858,1730.0
2023-06-23,7,4200.0,15.0,2187.1428571428573
2023-06-24,12,1440.0,14.142857142857142,2007.142857142857
2023-06-25,30,600.0,16.714285714285715,1664.2857142857142
2023-06-26,15,750.0,17.714285714285715,1691.4285714285713
2023-06-27,8,1440.0,18.142857142857142,1397.142857142857
2023-06-28,40,600.0,22.428571428571427,1354.2857142857142
2023-06-29,10,1200.0,17.428571428571427,1461.4285714285713
2023-06-30,5,1500.0,17.142857142857142,1075.7142857142858
2023-07-01,5,6000.0,16.142857142857142,1727.142857142857
2023-07-01,3,300.0,12.285714285714286,1684.2857142857142
2023-07-02,2,160.0,10.428571428571429,1600.0
2023-07-02,8,6400.0,10.428571428571429,2308.5714285714284
2023-07-03,4,240.0,5.285714285714286,2257.1428571428573
2023-07-03,10,200.0,5.285714285714286,2114.285714285714
2023-07-04,2,300.0,4.857142857142857,1942.857142857143
2023-07-04,5,750.0,4.857142857142857,1192.857142857143
2023-07-05,6,240.0,5.285714285714286,1184.2857142857142
2023-07-05,3,90.0,5.428571428571429,1174.2857142857142
2023-07-06,7,420.0,5.285714285714286,320.0
2023-07-06,4,320.0,5.285714285714286,331.42857142857144
2023-07-07,5,250.0,4.571428571428571,338.57142857142856
2023-07-07,3,600.0,4.714285714285714,381.42857142857144
2023-07-08,1,300.0,4.142857142857143,317.14285714285717
2023-07-08,8,200.0,4.428571428571429,311.42857142857144
2023-07-09,2,100.0,4.285714285714286,312.85714285714283
2023-07-09,4,480.0,3.857142857142857,321.42857142857144
2023-07-10,3,2100.0,3.7142857142857144,575.7142857142857
2023-07-10,5,350.0,3.7142857142857144,590.0
2023-07-11,2,160.0,3.5714285714285716,527.1428571428571
2023-07-11,1,120.0,3.5714285714285716,501.42857142857144
2023-07-12,3,600.0,2.857142857142857,558.5714285714286
2023-07-12,6,240.0,3.4285714285714284,578.5714285714286
2023-07-13,10,200.0,4.285714285714286,538.5714285714286
2023-07-13,1,800.0,4.0,352.85714285714283
2023-07-14,4,200.0,3.857142857142857,331.42857142857144
2023-07-14,2,200.0,3.857142857142857,337.14285714285717
2023-07-15,3,240.0,4.142857142857143,354.2857142857143
2023-07-15,1,200.0,3.857142857142857,297.14285714285717
2023-07-16,5,150.0,3.7142857142857144,284.2857142857143
2023-07-16,2,100.0,2.5714285714285716,270.0
2023-07-17,4,160.0,3.0,178.57142857142858
2023-07-17,2,1000.0,2.7142857142857144,292.85714285714283
2023-07-18,7,175.0,3.4285714285714284,289.2857142857143
2023-07-18,3,90.0,3.4285714285714284,267.85714285714283
2023-07-19,1,400.0,3.4285714285714284,296.42857142857144
2023-07-19,6,120.0,3.5714285714285716,292.14285714285717
2023-07-20,8,120.0,4.428571428571429,295.0
2023-07-20,4,100.0,4.428571428571429,286.42857142857144
2023-07-21,2,200.0,4.428571428571429,172.14285714285714
2023-07-21,5,75.0,4.142857142857143,157.85714285714286
2023-07-22,3,150.0,4.142857142857143,166.42857142857142
2023-07-22,1,300.0,4.142857142857143,152.14285714285714
2023-07-23,10,100.0,4.714285714285714,149.28571428571428
2023-07-23,4,60.0,4.142857142857143,140.71428571428572
2023-07-24,2,80.0,3.857142857142857,137.85714285714286
2023-07-24,3,210.0,4.0,139.28571428571428
2023-07-25,12,120.0,5.0,145.71428571428572
2023-07-25,6,120.0,5.428571428571429,141.42857142857142
2023-08-01,10,12000.0,6.714285714285714,1812.857142857143
2023-08-01,5,500.0,6.0,1870.0
2023-08-02,15,1200.0,7.571428571428571,2032.857142857143
2023-08-02,8,6400.0,8.428571428571429,2935.714285714286
2023-08-03,7,350.0,9.0,2955.714285714286
2023-08-03,12,480.0,9.0,3007.1428571428573
2023-08-04,4,2400.0,8.714285714285714,3332.8571428571427
2023-08-04,3,360.0,7.714285714285714,1670.0
2023-08-05,20,600.0,9.857142857142858,1684.2857142857142
2023-08-05,10,1000.0,9.142857142857142,1655.7142857142858
2023-08-06,8,320.0,9.142857142857142,787.1428571428571
2023-08-06,25,500.0,11.714285714285714,808.5714285714286
2023-08-07,6,5400.0,10.857142857142858,1511.4285714285713
2023-08-07,2,1600.0,10.571428571428571,1397.142857142857
2023-08-08,10,600.0,11.571428571428571,1431.4285714285713
2023-08-08,15,6000.0,10.857142857142858,2202.8571428571427
2023-08-09,5,350.0,10.142857142857142,2110.0
2023-08-09,30,750.0,13.285714285714286,2171.4285714285716
2023-08-10,12,600.0,11.428571428571429,2185.714285714286
2023-08-10,6,210.0,11.428571428571429,1444.2857142857142
2023-08-11,18,900.0,13.714285714285714,1344.2857142857142
2023-08-11,8,160.0,13.428571428571429,1281.4285714285713
2023-08-12,3,1800.0,11.714285714285714,681.4285714285714
2023-08-12,22,330.0,14.142857142857142,678.5714285714286
2023-08-13,5,2000.0,10.571428571428571,857.1428571428571
2023-08-13,4,320.0,9.428571428571429,817.1428571428571
2023-08-14,15,450.0,10.714285714285714,851.4285714285714
2023-08-14,7,420.0,9.142857142857142,782.8571428571429
2023-08-15,10,400.0,9.428571428571429,817.1428571428571
2023-08-15,3,2400.0,9.428571428571429,902.8571428571429
2023-08-16,12,1800.0,8.0,1112.857142857143
2023-08-16,5,250.0,8.0,862.8571428571429
2023-08-17,8,400.0,8.571428571428571,874.2857142857143
2023-08-17,6,180.0,7.285714285714286,835.7142857142857
2023-08-18,15,375.0,8.428571428571429,829.2857142857143
2023-08-18,2,400.0,7.285714285714286,829.2857142857143
2023-08-19,4,4000.0,7.428571428571429,1057.857142857143
2023-08-19,3,450.0,6.142857142857143,865.0
2023-08-20,20,200.0,8.285714285714286,857.8571428571429
2023-08-20,5,400.0,7.857142857142857,857.8571428571429
2023-08-21,2,800.0,7.285714285714286,946.4285714285714
2023-08-21,12,480.0,6.857142857142857,961.4285714285714
2023-08-22,8,560.0,7.714285714285714,984.2857142857143
2023-08-22,7,420.0,8.142857142857142,472.85714285714283
2023-08-23,4,400.0,8.285714285714286,465.7142857142857
2023-08-23,10,400.0,6.857142857142857,494.2857142857143
2023-09-01,3,2400.0,6.571428571428571,780.0
2023-09-01,2,100.0,6.571428571428571,680.0
2023-09-02,1,300.0,5.0,654.2857142857143
2023-09-03,5,400.0,4.571428571428571,631.4285714285714
2023-09-04,10,150.0,5.0,592.8571428571429
2023-09-05,2,2000.0,4.714285714285714,821.4285714285714
2023-09-06,3,120.0,3.7142857142857144,781.4285714285714
2023-09-07,15,300.0,5.428571428571429,481.42857142857144
2023-09-08,4,400.0,5.714285714285714,524.2857142857143
2023-09-09,2,240.0,5.857142857142857,515.7142857142857
2023-09-10,1,1200.0,5.285714285714286,630.0
2023-09-11,4,120.0,4.428571428571429,625.7142857142857
2023-09-12,6,540.0,5.0,417.14285714285717
2023-09-13,8,200.0,5.714285714285714,428.57142857142856
2023-09-14,2,1600.0,3.857142857142857,614.2857142857143
2023-09-15,1,600.0,3.4285714285714284,642.8571428571429
2023-09-16,7,140.0,4.142857142857143,628.5714285714286
2023-09-17,3,360.0,4.428571428571429,508.57142857142856
2023-09-18,4,600.0,4.428571428571429,577.1428571428571
2023-09-19,2,1000.0,3.857142857142857,642.8571428571429
2023-09-20,1,200.0,2.857142857142857,642.8571428571429
2023-09-21,5,250.0,3.2857142857142856,450.0
2023-09-22,1,150.0,3.2857142857142856,385.7142857142857
2023-09-23,8,480.0,3.4285714285714284,434.2857142857143
2023-09-24,6,180.0,3.857142857142857,408.57142857142856
2023-09-25,2,800.0,3.5714285714285716,437.14285714285717
2023-09-26,10,150.0,4.714285714285714,315.7142857142857
2023-09-27,12,120.0,6.285714285714286,304.2857142857143
2023-09-28,5,100.0,6.285714285714286,282.85714285714283
2023-09-29,3,135.0,6.571428571428571,280.7142857142857
2023-09-30,4,100.0,6.0,226.42857142857142
2023-10-01,5,6000.0,5.857142857142857,1057.857142857143
2023-10-01,8,6400.0,6.714285714285714,1857.857142857143
2023-10-02,10,1500.0,6.714285714285714,2050.714285714286
2023-10-03,3,150.0,5.428571428571429,2055.0
2023-10-04,7,560.0,5.714285714285714,2120.714285714286
2023-10-05,2,2000.0,5.571428571428571,2387.1428571428573
2023-10-06,4,1000.0,5.571428571428571,2515.714285714286
2023-10-07,6,240.0,5.714285714285714,1692.857142857143
2023-10-08,15,300.0,6.714285714285714,821.4285714285714
2023-10-09,9,900.0,6.571428571428571,735.7142857142857
2023-10-10,5,400.0,6.857142857142857,771.4285714285714
