Date,Quantity,Amount,RollingAverageSalesQuantity,RollingAverageSalesAmount
2023-02-06,40,1200.0,40.0,1200.0
2023-02-08,15,750.0,27.5,975.0
2023-02-14,50,500.0,35.0,816.6666666666666
2023-02-18,25,375.0,32.5,706.25
2023-02-19,12,600.0,28.4,685.0
2023-02-21,8,480.0,25.0,650.8333333333334
2023-02-24,15,225.0,23.571428571428573,590.0
2023-03-06,18,540.0,20.428571428571427,495.7142857142857
2023-03-16,8,1200.0,19.428571428571427,560.0
2023-03-19,30,750.0,16.571428571428573,595.7142857142857
2023-03-20,50,500.0,20.142857142857142,613.5714285714286
2023-03-23,8,320.0,19.571428571428573,573.5714285714286
2023-03-24,20,600.0,21.285714285714285,590.7142857142857
2023-03-25,30,450.0,23.428571428571427,622.8571428571429
2023-06-09,25,750.0,24.428571428571427,652.8571428571429
2023-06-26,15,750.0,25.428571428571427,588.5714285714286
2023-07-05,3,90.0,21.571428571428573,494.2857142857143
2023-07-07,5,250.0,15.142857142857142,458.57142857142856
2023-07-20,8,120.0,15.142857142857142,430.0
