Date,TotalSalesQuantity,TotalSalesAmount,RollingAverageSalesQuantity,RollingAverageSalesAmount
2023-01-03,5,400.0,5.0,400.0
2023-01-07,15,300.0,10.0,350.0
2023-01-12,6,540.0,8.666666666666666,413.3333333333333
2023-01-18,4,600.0,7.5,460.0
2023-01-23,8,480.0,7.6,464.0
2023-01-31,2,140.0,6.666666666666667,410.0
2023-02-03,80,3400.0,17.142857142857142,837.1428571428571
2023-02-11,40,1200.0,22.142857142857142,951.4285714285714
2023-02-13,10,1000.0,21.428571428571427,1051.4285714285713
2023-02-17,7,840.0,21.571428571428573,1094.2857142857142
2023-03-02,30,2400.0,25.285714285714285,1351.4285714285713
2023-03-04,35,2100.0,29.142857142857142,1582.857142857143
2023-03-07,22,1980.0,32.0,1845.7142857142858
2023-03-08,50,1000.0,27.714285714285715,1502.857142857143
2023-03-10,25,1750.0,25.571428571428573,1581.4285714285713
2023-03-12,15,750.0,26.285714285714285,1545.7142857142858
2023-03-21,40,1000.0,31.0,1568.5714285714287
2023-03-27,12,540.0,28.428571428571427,1302.857142857143
2023-04-04,5,400.0,24.142857142857142,1060.0
2023-04-08,15,300.0,23.142857142857142,820.0
2023-04-13,6,540.0,16.857142857142858,754.2857142857143
2023-04-19,4,600.0,13.857142857142858,590.0
2023-04-24,8,480.0,12.857142857142858,551.4285714285714
2023-05-04,5,400.0,7.857142857142857,465.7142857142857
2023-05-08,15,300.0,8.285714285714286,431.42857142857144
2023-05-13,6,540.0,8.428571428571429,451.42857142857144
2023-05-19,4,600.0,6.857142857142857,494.2857142857143
2023-05-24,8,480.0,7.142857142857143,485.7142857142857
2023-05-31,2,140.0,6.857142857142857,420.0
2023-06-08,50,1000.0,12.857142857142858,494.2857142857143
2023-06-13,35,525.0,17.142857142857142,512.1428571428571
2023-06-16,20,1000.0,17.857142857142858,612.1428571428571
2023-06-22,45,450.0,23.428571428571427,599.2857142857143
2023-07-03,10,200.0,24.285714285714285,542.1428571428571
2023-07-11,2,160.0,23.428571428571427,496.42857142857144
2023-07-14,4,200.0,23.714285714285715,505.0
2023-07-18,7,175.0,17.571428571428573,387.14285714285717
2023-09-03,5,400.0,13.285714285714286,369.2857142857143
2023-09-07,15,300.0,12.571428571428571,269.2857142857143
2023-09-12,6,540.0,7.0,282.14285714285717
2023-09-18,4,600.0,6.142857142857143,339.2857142857143
2023-09-23,8,480.0,7.0,385.0
2023-10-04,7,560.0,7.428571428571429,436.42857142857144
2023-10-08,15,300.0,8.571428571428571,454.2857142857143
2023-10-12,6,540.0,8.714285714285714,474.2857142857143
2023-10-16,8,480.0,7.714285714285714,500.0
2023-10-20,10,400.0,8.285714285714286,480.0
2023-10-24,20,200.0,10.571428571428571,422.85714285714283
2023-10-28,8,560.0,10.571428571428571,434.2857142857143
2023-11-04,7,560.0,10.571428571428571,434.2857142857143
2023-11-08,15,300.0,10.571428571428571,434.2857142857143
2023-11-12,6,540.0,10.571428571428571,434.2857142857143
2023-11-16,8,480.0,10.571428571428571,434.2857142857143
2023-11-20,10,400.0,10.571428571428571,434.2857142857143
2023-11-24,20,200.0,10.571428571428571,434.2857142857143
2023-11-28,8,560.0,10.571428571428571,434.2857142857143
2023-12-04,7,560.0,10.571428571428571,434.2857142857143
2023-12-08,15,300.0,10.571428571428571,434.2857142857143
2023-12-12,6,540.0,10.571428571428571,434.2857142857143
2023-12-16,8,480.0,10.571428571428571,434.2857142857143
2023-12-20,10,400.0,10.571428571428571,434.2857142857143
2023-12-24,20,200.0,10.571428571428571,434.2857142857143
2023-12-28,8,560.0,10.571428571428571,434.2857142857143
2024-01-01,7,560.0,10.571428571428571,434.2857142857143
2024-01-02,3,360.0,8.857142857142858,442.85714285714283
2024-01-03,15,300.0,10.142857142857142,408.57142857142856
2024-01-04,17,810.0,11.428571428571429,455.7142857142857
2024-01-05,7,560.0,11.0,478.57142857142856
2024-01-08,15,300.0,10.285714285714286,492.85714285714283
2024-01-12,6,540.0,10.0,490.0
2024-01-16,8,480.0,10.142857142857142,478.57142857142856
2024-01-20,10,400.0,11.142857142857142,484.2857142857143
2024-01-24,20,200.0,11.857142857142858,470.0
2024-01-28,8,560.0,10.571428571428571,434.2857142857143
