Date,TotalSalesQuantity,TotalSalesAmount,RollingAverageSalesQuantity,RollingAverageSalesAmount
2023-01-01,2,100.0,2.0,100.0
2023-01-06,3,120.0,2.5,110.0
2023-01-11,4,120.0,3.0,113.33333333333333
2023-01-17,3,360.0,3.0,175.0
2023-01-22,1,150.0,2.6,170.0
2023-02-02,30,2200.0,7.166666666666667,508.3333333333333
2023-02-04,15,600.0,8.285714285714286,521.4285714285714
2023-02-06,10,800.0,9.428571428571429,621.4285714285714
2023-02-09,5,750.0,9.714285714285714,711.4285714285714
2023-02-12,8,960.0,10.285714285714286,831.4285714285714
2023-02-16,10,500.0,11.285714285714286,851.4285714285714
2023-02-19,2,1600.0,11.428571428571429,1058.5714285714287
2023-02-22,6,600.0,8.0,830.0
2023-02-23,10,400.0,7.285714285714286,801.4285714285714
2023-03-02,10,1000.0,7.285714285714286,830.0
2023-03-03,15,600.0,8.714285714285714,808.5714285714286
2023-03-05,12,840.0,9.285714285714286,791.4285714285714
2023-03-07,10,800.0,9.285714285714286,834.2857142857143
2023-03-10,8,1200.0,10.142857142857142,777.1428571428571
2023-03-13,2,1600.0,9.571428571428571,920.0
2023-03-15,12,1200.0,9.857142857142858,1034.2857142857142
2023-03-16,4,800.0,9.0,1005.7142857142857
2023-03-19,20,800.0,9.714285714285714,1034.2857142857142
2023-03-21,4,1200.0,8.571428571428571,1085.7142857142858
2023-03-25,10,500.0,8.571428571428571,1042.857142857143
2023-03-26,15,300.0,9.571428571428571,914.2857142857143
2023-04-02,2,100.0,9.571428571428571,700.0
2023-04-07,3,120.0,8.285714285714286,545.7142857142857
2023-04-12,4,120.0,8.285714285714286,448.57142857142856
2023-04-18,3,360.0,5.857142857142857,385.7142857142857
2023-04-23,1,150.0,5.428571428571429,235.71428571428572
2023-05-02,2,100.0,4.285714285714286,178.57142857142858
2023-05-07,3,120.0,2.5714285714285716,152.85714285714286
2023-05-12,4,120.0,2.857142857142857,155.71428571428572
2023-05-18,3,360.0,2.857142857142857,190.0
2023-05-23,1,150.0,2.4285714285714284,194.28571428571428
2023-06-03,25,1500.0,5.571428571428571,357.14285714285717
2023-06-07,20,800.0,8.285714285714286,450.0
2023-06-12,30,750.0,12.285714285714286,542.8571428571429
2023-06-15,15,1200.0,14.0,697.1428571428571
2023-06-21,10,900.0,14.857142857142858,808.5714285714286
2023-06-24,12,1440.0,16.142857142857142,962.8571428571429
2023-06-30,5,1500.0,16.714285714285715,1155.7142857142858
2023-07-01,3,300.0,13.571428571428571,984.2857142857143
2023-07-03,4,240.0,11.285714285714286,904.2857142857143
2023-07-05,6,240.0,7.857142857142857,831.4285714285714
2023-07-06,4,320.0,6.285714285714286,705.7142857142857
2023-07-09,2,100.0,5.142857142857143,591.4285714285714
2023-07-10,5,350.0,4.142857142857143,435.7142857142857
2023-07-11,1,120.0,3.5714285714285716,238.57142857142858
2023-07-13,1,800.0,3.2857142857142856,310.0
2023-07-14,2,200.0,3.0,304.2857142857143
2023-07-15,1,200.0,2.2857142857142856,298.57142857142856
2023-07-17,2,1000.0,2.0,395.7142857142857
2023-07-25,6,120.0,2.5714285714285716,398.57142857142856
2023-08-01,5,500.0,2.5714285714285716,420.0
2023-08-03,7,350.0,3.4285714285714284,452.85714285714283
2023-08-04,3,360.0,3.7142857142857144,390.0
2023-08-06,8,320.0,4.571428571428571,407.14285714285717
2023-08-07,2,1600.0,4.714285714285714,607.1428571428571
2023-08-09,5,350.0,5.142857142857143,514.2857142857143
2023-08-10,6,210.0,5.142857142857143,527.1428571428571
2023-08-12,3,1800.0,4.857142857142857,712.8571428571429
2023-08-13,4,320.0,4.428571428571429,708.5714285714286
2023-08-15,10,400.0,5.428571428571429,714.2857142857143
2023-08-16,5,250.0,5.0,704.2857142857143
2023-08-18,15,375.0,6.857142857142857,529.2857142857143
2023-08-19,3,450.0,6.571428571428571,543.5714285714286
2023-08-21,2,800.0,6.0,627.8571428571429
2023-08-22,7,420.0,6.571428571428571,430.7142857142857
2023-09-01,2,100.0,6.285714285714286,399.2857142857143
2023-09-06,3,120.0,5.285714285714286,359.2857142857143
2023-09-11,4,120.0,5.142857142857143,340.7142857142857
2023-09-17,3,360.0,3.4285714285714284,338.57142857142856
2023-09-22,1,150.0,3.142857142857143,295.7142857142857
2023-10-03,3,150.0,3.2857142857142856,202.85714285714286
2023-10-07,6,240.0,3.142857142857143,177.14285714285714
2023-10-11,2,240.0,3.142857142857143,197.14285714285714
2023-10-15,4,120.0,3.2857142857142856,197.14285714285714
2023-10-19,5,225.0,3.4285714285714284,212.14285714285714
2023-10-23,3,210.0,3.4285714285714284,190.71428571428572
2023-10-27,3,450.0,3.7142857142857144,233.57142857142858
2023-10-31,5,175.0,4.0,237.14285714285714
2023-11-03,3,150.0,3.5714285714285716,224.28571428571428
2023-11-07,6,240.0,4.142857142857143,224.28571428571428
2023-11-11,2,240.0,3.857142857142857,241.42857142857142
2023-11-15,4,120.0,3.7142857142857144,226.42857142857142
2023-11-19,5,225.0,4.0,228.57142857142858
2023-11-23,3,210.0,4.0,194.28571428571428
2023-11-27,3,450.0,3.7142857142857144,233.57142857142858
2023-12-03,3,150.0,3.7142857142857144,233.57142857142858
2023-12-07,6,240.0,3.7142857142857144,233.57142857142858
2023-12-11,2,240.0,3.7142857142857144,233.57142857142858
