Date,TotalSalesQuantity,TotalSalesAmount,RollingAverageSalesQuantity,RollingAverageSalesAmount
2023-01-02,1,300.0,1.0,300.0
2023-01-09,2,240.0,1.5,270.0
2023-01-15,1,600.0,1.3333333333333333,380.0
2023-01-20,1,200.0,1.25,335.0
2023-02-05,13,4100.0,3.6,1088.0
2023-02-10,7,1050.0,4.166666666666667,1081.6666666666667
2023-02-11,12,960.0,5.285714285714286,1064.2857142857142
2023-02-17,15,600.0,7.285714285714286,1107.142857142857
2023-02-25,5,350.0,7.714285714285714,1122.857142857143
2023-03-03,20,3000.0,10.428571428571429,1465.7142857142858
2023-03-06,5,1000.0,11.0,1580.0
2023-03-09,3,1500.0,9.571428571428571,1208.5714285714287
2023-03-11,12,960.0,10.285714285714286,1195.7142857142858
2023-03-14,7,840.0,9.571428571428571,1178.5714285714287
2023-03-17,10,1000.0,8.857142857142858,1235.7142857142858
2023-03-18,5,2000.0,8.857142857142858,1471.4285714285713
2023-03-26,5,400.0,6.714285714285714,1100.0
2023-04-03,1,300.0,6.142857142857143,1000.0
2023-04-10,2,240.0,6.0,820.0
2023-04-16,1,600.0,4.428571428571429,768.5714285714286
2023-04-21,1,200.0,3.5714285714285716,677.1428571428571
2023-05-03,1,300.0,2.2857142857142856,577.1428571428571
2023-05-10,2,240.0,1.8571428571428572,325.7142857142857
2023-05-16,1,600.0,1.2857142857142858,354.2857142857143
2023-05-21,1,200.0,1.2857142857142858,340.0
2023-06-02,15,2250.0,3.142857142857143,627.1428571428571
2023-06-06,12,2400.0,4.714285714285714,884.2857142857143
2023-06-11,8,4000.0,5.714285714285714,1427.142857142857
2023-06-14,10,1200.0,7.0,1555.7142857142858
2023-06-18,12,3000.0,8.428571428571429,1950.0
2023-06-23,7,4200.0,9.285714285714286,2464.285714285714
2023-07-04,2,300.0,9.428571428571429,2478.5714285714284
2023-07-08,1,300.0,7.428571428571429,2200.0
2023-07-12,3,600.0,6.142857142857143,1942.857142857143
2023-09-02,1,300.0,5.142857142857143,1414.2857142857142
2023-09-09,2,240.0,4.0,1277.142857142857
2023-09-15,1,600.0,2.4285714285714284,934.2857142857143
2023-09-20,1,200.0,1.5714285714285714,362.85714285714283
2023-10-02,10,1500.0,2.7142857142857144,534.2857142857143
2023-10-06,4,1000.0,3.142857142857143,634.2857142857143
2023-10-10,5,400.0,3.4285714285714284,605.7142857142857
2023-10-14,2,600.0,3.5714285714285716,648.5714285714286
2023-10-18,3,540.0,3.7142857142857144,691.4285714285714
2023-10-22,1,600.0,3.7142857142857144,691.4285714285714
2023-10-26,2,1400.0,3.857142857142857,862.8571428571429
2023-10-30,1,900.0,2.5714285714285716,777.1428571428571
2023-11-02,10,1500.0,3.4285714285714284,848.5714285714286
2023-11-06,4,1000.0,3.2857142857142856,934.2857142857143
2023-11-10,5,400.0,3.7142857142857144,905.7142857142857
2023-11-14,2,600.0,3.5714285714285716,914.2857142857143
2023-11-18,3,540.0,3.857142857142857,905.7142857142857
2023-11-22,1,600.0,3.7142857142857144,791.4285714285714
2023-11-26,2,1400.0,3.857142857142857,862.8571428571429
2023-11-30,1,900.0,2.5714285714285716,777.1428571428571
2023-12-02,10,1500.0,3.4285714285714284,848.5714285714286
2023-12-06,4,1000.0,3.2857142857142856,934.2857142857143
2023-12-10,5,400.0,3.7142857142857144,905.7142857142857
2023-12-14,2,600.0,3.5714285714285716,914.2857142857143
2023-12-18,3,540.0,3.857142857142857,905.7142857142857
2023-12-22,1,600.0,3.7142857142857144,791.4285714285714
2023-12-26,2,1400.0,3.857142857142857,862.8571428571429
2023-12-30,1,900.0,2.5714285714285716,777.1428571428571
2024-01-01,10,1500.0,3.4285714285714284,848.5714285714286
2024-01-02,8,1800.0,3.857142857142857,1048.5714285714287
2024-01-03,3,360.0,4.0,1014.2857142857143
2024-01-04,5,900.0,4.285714285714286,1065.7142857142858
2024-01-05,5,2100.0,4.857142857142857,1280.0
2024-01-06,4,1000.0,5.142857142857143,1222.857142857143
2024-01-10,5,400.0,5.714285714285714,1151.4285714285713
2024-01-14,2,600.0,4.571428571428571,1022.8571428571429
2024-01-18,3,540.0,3.857142857142857,842.8571428571429
2024-01-22,1,600.0,3.5714285714285716,877.1428571428571
2024-01-26,2,1400.0,3.142857142857143,948.5714285714286
2024-01-30,1,900.0,2.5714285714285716,777.1428571428571
