Date,Quantity,Amount,RollingAverageSalesQuantity,RollingAverageSalesAmount
2023-08-02,15,1200.0,15.0,1200.0
2023-08-03,12,480.0,13.5,840.0
2023-08-05,20,600.0,15.666666666666666,760.0
2023-08-06,25,500.0,18.0,695.0
2023-08-08,10,600.0,16.4,676.0
2023-08-09,30,750.0,18.666666666666668,688.3333333333334
2023-08-11,18,900.0,18.571428571428573,718.5714285714286
2023-08-12,22,330.0,19.571428571428573,594.2857142857143
2023-08-14,15,450.0,20.0,590.0
2023-08-15,3,2400.0,17.571428571428573,847.1428571428571
2023-08-17,8,400.0,15.142857142857142,832.8571428571429
2023-08-18,2,400.0,14.0,804.2857142857143
2023-08-20,20,200.0,12.571428571428571,725.7142857142857
2023-08-21,12,480.0,11.714285714285714,665.7142857142857
2023-08-23,4,400.0,9.142857142857142,675.7142857142857
