Date,TotalSalesQuantity,TotalSalesAmount,RunningTotalSalesQuantity,RunningTotalSalesAmount
2023-01-01,5,2500.0,5,2500.0
2023-01-02,1,300.0,6,2800.0
2023-01-03,5,400.0,11,3200.0
2023-01-04,10,150.0,21,3350.0
2023-01-05,2,2000.0,23,5350.0
2023-01-06,3,120.0,26,5470.0
2023-01-07,15,300.0,41,5770.0
2023-01-08,4,400.0,45,6170.0
2023-01-09,2,240.0,47,6410.0
2023-01-10,1,1200.0,48,7610.0
2023-01-11,4,120.0,52,7730.0
2023-01-12,6,540.0,58,8270.0
2023-01-13,8,200.0,66,8470.0
2023-01-14,2,1600.0,68,10070.0
2023-01-15,1,600.0,69,10670.0
2023-01-16,7,140.0,76,10810.0
2023-01-17,3,360.0,79,11170.0
2023-01-18,4,600.0,83,11770.0
2023-01-19,2,1000.0,85,12770.0
2023-01-20,1,200.0,86,12970.0
2023-01-21,5,250.0,91,13220.0
2023-01-22,1,150.0,92,13370.0
2023-01-23,8,480.0,100,13850.0
2023-01-24,6,180.0,106,14030.0
2023-01-25,2,800.0,108,14830.0
2023-01-26,10,150.0,118,14980.0
2023-01-27,12,120.0,130,15100.0
2023-01-28,5,100.0,135,15200.0
2023-01-29,3,135.0,138,15335.0
2023-01-30,4,100.0,142,15435.0
2023-01-31,2,140.0,144,15575.0
2023-02-01,40,38000.0,184,53575.0
2023-02-02,30,2200.0,214,55775.0
2023-02-03,80,3400.0,294,59175.0
2023-02-04,27,2400.0,321,61575.0
2023-02-05,13,4100.0,334,65675.0
2023-02-06,50,2000.0,384,67675.0
2023-02-07,45,1500.0,429,69175.0
2023-02-08,23,7150.0,452,76325.0
2023-02-09,8,2850.0,460,79175.0
2023-02-10,17,2050.0,477,81225.0
2023-02-11,52,2160.0,529,83385.0
2023-02-12,13,2460.0,542,85845.0
2023-02-13,25,2050.0,567,87895.0
2023-02-14,80,1250.0,647,89145.0
2023-02-15,50,850.0,697,89995.0
2023-02-16,14,2100.0,711,92095.0
2023-02-17,22,1440.0,733,93535.0
2023-02-18,45,1575.0,778,95110.0
2023-02-19,14,2200.0,792,97310.0
2023-02-20,50,650.0,842,97960.0
2023-02-21,23,1080.0,865,99040.0
2023-02-22,18,960.0,883,100000.0
2023-02-23,30,900.0,913,100900.0
2023-02-24,45,525.0,958,101425.0
2023-02-25,30,850.0,988,102275.0
2023-03-01,40,38000.0,1028,140275.0
2023-03-02,40,3400.0,1068,143675.0
2023-03-03,35,3600.0,1103,147275.0
2023-03-04,75,4100.0,1178,151375.0
2023-03-05,20,8840.0,1198,160215.0
2023-03-06,23,1540.0,1221,161755.0
2023-03-07,32,2780.0,1253,164535.0
2023-03-08,65,1900.0,1318,166435.0
2023-03-09,10,2340.0,1328,168775.0
2023-03-10,33,2950.0,1361,171725.0
2023-03-11,30,6360.0,1391,178085.0
2023-03-12,55,1150.0,1446,179235.0
2023-03-13,12,5600.0,1458,184835.0
2023-03-14,12,1240.0,1470,186075.0
2023-03-15,32,1600.0,1502,187675.0
2023-03-16,12,2000.0,1514,189675.0
2023-03-17,25,1450.0,1539,191125.0
2023-03-18,11,3500.0,1550,194625.0
2023-03-19,50,1550.0,1600,196175.0
2023-03-20,53,1400.0,1653,197575.0
2023-03-21,44,2200.0,1697,199775.0
2023-03-22,17,2250.0,1714,202025.0
2023-03-23,18,570.0,1732,202595.0
2023-03-24,45,975.0,1777,203570.0
2023-03-25,40,950.0,1817,204520.0
2023-03-26,20,700.0,1837,205220.0
2023-03-27,20,860.0,1857,206080.0
2023-04-01,3,2400.0,1860,208480.0
2023-04-02,2,100.0,1862,208580.0
2023-04-03,1,300.0,1863,208880.0
2023-04-04,5,400.0,1868,209280.0
2023-04-05,10,150.0,1878,209430.0
2023-04-06,2,2000.0,1880,211430.0
2023-04-07,3,120.0,1883,211550.0
2023-04-08,15,300.0,1898,211850.0
2023-04-09,4,400.0,1902,212250.0
2023-04-10,2,240.0,1904,212490.0
2023-04-11,1,1200.0,1905,213690.0
2023-04-12,4,120.0,1909,213810.0
2023-04-13,6,540.0,1915,214350.0
2023-04-14,8,200.0,1923,214550.0
2023-04-15,2,1600.0,1925,216150.0
2023-04-16,1,600.0,1926,216750.0
2023-04-17,7,140.0,1933,216890.0
2023-04-18,3,360.0,1936,217250.0
2023-04-19,4,600.0,1940,217850.0
2023-04-20,2,1000.0,1942,218850.0
2023-04-21,1,200.0,1943,219050.0
2023-04-22,5,250.0,1948,219300.0
2023-04-23,1,150.0,1949,219450.0
2023-04-24,8,480.0,1957,219930.0
2023-04-25,6,180.0,1963,220110.0
2023-04-26,2,800.0,1965,220910.0
2023-04-27,10,150.0,1975,221060.0
2023-04-28,12,120.0,1987,221180.0
2023-04-29,5,100.0,1992,221280.0
2023-04-30,3,135.0,1995,221415.0
2023-05-01,3,2400.0,1998,223815.0
2023-05-02,2,100.0,2000,223915.0
2023-05-03,1,300.0,2001,224215.0
2023-05-04,5,400.0,2006,224615.0
2023-05-05,10,150.0,2016,224765.0
2023-05-06,2,2000.0,2018,226765.0
2023-05-07,3,120.0,2021,226885.0
2023-05-08,15,300.0,2036,227185.0
2023-05-09,4,400.0,2040,227585.0
2023-05-10,2,240.0,2042,227825.0
2023-05-11,1,1200.0,2043,229025.0
2023-05-12,4,120.0,2047,229145.0
2023-05-13,6,540.0,2053,229685.0
2023-05-14,8,200.0,2061,229885.0
2023-05-15,2,1600.0,2063,231485.0
2023-05-16,1,600.0,2064,232085.0
2023-05-17,7,140.0,2071,232225.0
2023-05-18,3,360.0,2074,232585.0
2023-05-19,4,600.0,2078,233185.0
2023-05-20,2,1000.0,2080,234185.0
2023-05-21,1,200.0,2081,234385.0
2023-05-22,5,250.0,2086,234635.0
