Date,Quantity,Amount,RunningTotalSalesQuantity,RunningTotalSalesAmount
2023-01-01,3,2400.0,3,2400.0
2023-01-01,2,100.0,5,2500.0
2023-01-02,1,300.0,6,2800.0
2023-01-03,5,400.0,11,3200.0
2023-01-04,10,150.0,21,3350.0
2023-01-05,2,2000.0,23,5350.0
2023-01-06,3,120.0,26,5470.0
2023-01-07,15,300.0,41,5770.0
2023-01-08,4,400.0,45,6170.0
2023-01-09,2,240.0,47,6410.0
2023-01-10,1,1200.0,48,7610.0
2023-01-11,4,120.0,52,7730.0
2023-01-12,6,540.0,58,8270.0
2023-01-13,8,200.0,66,8470.0
2023-01-14,2,1600.0,68,10070.0
2023-01-15,1,600.0,69,10670.0
2023-01-16,7,140.0,76,10810.0
2023-01-17,3,360.0,79,11170.0
2023-01-18,4,600.0,83,11770.0
2023-01-19,2,1000.0,85,12770.0
2023-01-20,1,200.0,86,12970.0
2023-01-21,5,250.0,91,13220.0
2023-01-22,1,150.0,92,13370.0
2023-01-23,8,480.0,100,13850.0
2023-01-24,6,180.0,106,14030.0
2023-01-25,2,800.0,108,14830.0
2023-01-26,10,150.0,118,14980.0
2023-01-27,12,120.0,130,15100.0
2023-01-28,5,100.0,135,15200.0
2023-01-29,3,135.0,138,15335.0
2023-01-30,4,100.0,142,15435.0
2023-01-31,2,140.0,144,15575.0
2023-02-01,15,18000.0,159,33575.0
2023-02-01,25,20000.0,184,53575.0
2023-02-02,10,1000.0,194,54575.0
2023-02-02,20,1200.0,214,55775.0
2023-02-03,30,2400.0,244,58175.0
2023-02-03,50,1000.0,294,59175.0
2023-02-04,12,1800.0,306,60975.0
2023-02-04,15,600.0,321,61575.0
2023-02-05,8,1600.0,329,63175.0
2023-02-05,5,2500.0,334,65675.0
2023-02-06,10,800.0,344,66475.0
2023-02-06,40,1200.0,384,67675.0
2023-02-07,20,1000.0,404,68675.0
2023-02-07,25,500.0,429,69175.0
2023-02-08,15,750.0,444,69925.0
2023-02-08,8,6400.0,452,76325.0
2023-02-09,5,750.0,457,77075.0
2023-02-09,3,2100.0,460,79175.0
2023-02-10,10,1000.0,470,80175.0
2023-02-10,7,1050.0,477,81225.0
2023-02-11,12,960.0,489,82185.0
2023-02-11,40,1200.0,529,83385.0
2023-02-12,5,1500.0,534,84885.0
2023-02-12,8,960.0,542,85845.0
2023-02-13,15,1050.0,557,86895.0
2023-02-13,10,1000.0,567,87895.0
2023-02-14,30,750.0,597,88645.0
2023-02-14,50,500.0,647,89145.0
2023-02-15,20,400.0,667,89545.0
2023-02-15,30,450.0,697,89995.0
2023-02-16,4,1600.0,701,91595.0
2023-02-16,10,500.0,711,92095.0
2023-02-17,7,840.0,718,92935.0
2023-02-17,15,600.0,733,93535.0
2023-02-18,20,1200.0,753,94735.0
2023-02-18,25,375.0,778,95110.0
2023-02-19,12,600.0,790,95710.0
2023-02-19,2,1600.0,792,97310.0
2023-02-20,40,400.0,832,97710.0
2023-02-20,10,250.0,842,97960.0
2023-02-21,15,600.0,857,98560.0
2023-02-21,8,480.0,865,99040.0
2023-02-22,6,600.0,871,99640.0
2023-02-22,12,360.0,883,100000.0
2023-02-23,10,400.0,893,100400.0
2023-02-23,20,500.0,913,100900.0
