Date,TotalSalesQuantity,TotalSalesAmount,RunningTotalSalesQuantity,RunningTotalSalesAmount
2023-02-06,40,1200.0,40,1200.0
2023-02-08,15,750.0,55,1950.0
2023-02-14,50,500.0,105,2450.0
2023-02-18,25,375.0,130,2825.0
2023-02-19,12,600.0,142,3425.0
2023-02-21,8,480.0,150,3905.0
2023-02-24,15,225.0,165,4130.0
2023-03-06,18,540.0,183,4670.0
2023-03-16,8,1200.0,191,5870.0
2023-03-19,30,750.0,221,6620.0
2023-03-20,50,500.0,271,7120.0
2023-03-23,8,320.0,279,7440.0
2023-03-24,20,600.0,299,8040.0
2023-03-25,30,450.0,329,8490.0
2023-06-09,25,750.0,354,9240.0
2023-06-26,15,750.0,369,9990.0
2023-07-05,3,90.0,372,10080.0
2023-07-07,5,250.0,377,10330.0
2023-07-20,8,120.0,385,10450.0
