Date,TotalSalesQuantity,TotalSalesAmount,RunningTotalSalesQuantity,RunningTotalSalesAmount
2023-01-03,5,400.0,5,400.0
2023-01-07,15,300.0,20,700.0
2023-01-12,6,540.0,26,1240.0
2023-01-18,4,600.0,30,1840.0
2023-01-23,8,480.0,38,2320.0
2023-01-31,2,140.0,40,2460.0
2023-02-03,80,3400.0,120,5860.0
2023-02-11,40,1200.0,160,7060.0
2023-02-13,10,1000.0,170,8060.0
2023-02-17,7,840.0,177,8900.0
2023-03-02,30,2400.0,207,11300.0
2023-03-04,35,2100.0,242,13400.0
2023-03-07,22,1980.0,264,15380.0
2023-03-08,50,1000.0,314,16380.0
2023-03-10,25,1750.0,339,18130.0
2023-03-12,15,750.0,354,18880.0
2023-03-21,40,1000.0,394,19880.0
2023-03-27,12,540.0,406,20420.0
2023-04-04,5,400.0,411,20820.0
2023-04-08,15,300.0,426,21120.0
2023-04-13,6,540.0,432,21660.0
2023-04-19,4,600.0,436,22260.0
2023-04-24,8,480.0,444,22740.0
2023-05-04,5,400.0,449,23140.0
2023-05-08,15,300.0,464,23440.0
2023-05-13,6,540.0,470,23980.0
2023-05-19,4,600.0,474,24580.0
2023-05-24,8,480.0,482,25060.0
2023-05-31,2,140.0,484,25200.0
2023-06-08,50,1000.0,534,26200.0
2023-06-13,35,525.0,569,26725.0
2023-06-16,20,1000.0,589,27725.0
2023-06-22,45,450.0,634,28175.0
2023-07-03,10,200.0,644,28375.0
2023-07-11,2,160.0,646,28535.0
2023-07-14,4,200.0,650,28735.0
2023-07-18,7,175.0,657,28910.0
2023-09-03,5,400.0,662,29310.0
2023-09-07,15,300.0,677,29610.0
2023-09-12,6,540.0,683,30150.0
2023-09-18,4,600.0,687,30750.0
2023-09-23,8,480.0,695,31230.0
2023-10-04,7,560.0,702,31790.0
2023-10-08,15,300.0,717,32090.0
2023-10-12,6,540.0,723,32630.0
2023-10-16,8,480.0,731,33110.0
2023-10-20,10,400.0,741,33510.0
2023-10-24,20,200.0,761,33710.0
2023-10-28,8,560.0,769,34270.0
2023-11-04,7,560.0,776,34830.0
2023-11-08,15,300.0,791,35130.0
2023-11-12,6,540.0,797,35670.0
2023-11-16,8,480.0,805,36150.0
2023-11-20,10,400.0,815,36550.0
2023-11-24,20,200.0,835,36750.0
2023-11-28,8,560.0,843,37310.0
2023-12-04,7,560.0,850,37870.0
2023-12-08,15,300.0,865,38170.0
2023-12-12,6,540.0,871,38710.0
2023-12-16,8,480.0,879,39190.0
2023-12-20,10,400.0,889,39590.0
2023-12-24,20,200.0,909,39790.0
2023-12-28,8,560.0,917,40350.0
2024-01-01,7,560.0,924,40910.0
2024-01-02,3,360.0,927,41270.0
2024-01-03,15,300.0,942,41570.0
2024-01-04,17,810.0,959,42380.0
2024-01-05,7,560.0,966,42940.0
2024-01-08,15,300.0,981,43240.0
2024-01-12,6,540.0,987,43780.0
2024-01-16,8,480.0,995,44260.0
2024-01-20,10,400.0,1005,44660.0
2024-01-24,20,200.0,1025,44860.0
2024-01-28,8,560.0,1033,45420.0
