Date,Quantity,Amount,RunningTotalSalesQuantity,RunningTotalSalesAmount
2023-01-01,2,100.0,2,100.0
2023-01-06,3,120.0,5,220.0
2023-01-11,4,120.0,9,340.0
2023-01-17,3,360.0,12,700.0
2023-01-22,1,150.0,13,850.0
2023-02-02,30,2200.0,43,3050.0
2023-02-04,15,600.0,58,3650.0
2023-02-06,10,800.0,68,4450.0
2023-02-09,5,750.0,73,5200.0
2023-02-12,8,960.0,81,6160.0
2023-02-16,10,500.0,91,6660.0
2023-02-19,2,1600.0,93,8260.0
2023-02-22,6,600.0,99,8860.0
2023-02-23,10,400.0,109,9260.0
2023-03-02,10,1000.0,119,10260.0
2023-03-03,15,600.0,134,10860.0
2023-03-05,12,840.0,146,11700.0
2023-03-07,10,800.0,156,12500.0
2023-03-10,8,1200.0,164,13700.0
2023-03-13,2,1600.0,166,15300.0
2023-03-15,12,1200.0,178,16500.0
2023-03-16,4,800.0,182,17300.0
2023-03-19,20,800.0,202,18100.0
2023-03-21,4,1200.0,206,19300.0
2023-03-25,10,500.0,216,19800.0
2023-03-26,15,300.0,231,20100.0
2023-04-02,2,100.0,233,20200.0
2023-04-07,3,120.0,236,20320.0
2023-04-12,4,120.0,240,20440.0
2023-04-18,3,360.0,243,20800.0
2023-04-23,1,150.0,244,20950.0
2023-05-02,2,100.0,246,21050.0
2023-05-07,3,120.0,249,21170.0
2023-05-12,4,120.0,253,21290.0
2023-05-18,3,360.0,256,21650.0
2023-05-23,1,150.0,257,21800.0
2023-06-03,25,1500.0,282,23300.0
2023-06-07,20,800.0,302,24100.0
2023-06-12,30,750.0,332,24850.0
2023-06-15,15,1200.0,347,26050.0
2023-06-21,10,900.0,357,26950.0
2023-06-24,12,1440.0,369,28390.0
2023-06-30,5,1500.0,374,29890.0
2023-07-01,3,300.0,377,30190.0
2023-07-03,4,240.0,381,30430.0
2023-07-05,6,240.0,387,30670.0
2023-07-06,4,320.0,391,30990.0
2023-07-09,2,100.0,393,31090.0
2023-07-10,5,350.0,398,31440.0
2023-07-11,1,120.0,399,31560.0
2023-07-13,1,800.0,400,32360.0
2023-07-14,2,200.0,402,32560.0
2023-07-15,1,200.0,403,32760.0
2023-07-17,2,1000.0,405,33760.0
2023-07-25,6,120.0,411,33880.0
2023-08-01,5,500.0,416,34380.0
2023-08-03,7,350.0,423,34730.0
2023-08-04,3,360.0,426,35090.0
2023-08-06,8,320.0,434,35410.0
2023-08-07,2,1600.0,436,37010.0
2023-08-09,5,350.0,441,37360.0
2023-08-10,6,210.0,447,37570.0
2023-08-12,3,1800.0,450,39370.0
2023-08-13,4,320.0,454,39690.0
2023-08-15,10,400.0,464,40090.0
2023-08-16,5,250.0,469,40340.0
2023-08-18,15,375.0,484,40715.0
2023-08-19,3,450.0,487,41165.0
2023-08-21,2,800.0,489,41965.0
2023-08-22,7,420.0,496,42385.0
2023-09-01,2,100.0,498,42485.0
2023-09-06,3,120.0,501,42605.0
2023-09-11,4,120.0,505,42725.0
2023-09-17,3,360.0,508,43085.0
2023-09-22,1,150.0,509,43235.0
2023-10-03,3,150.0,512,43385.0
2023-10-07,6,240.0,518,43625.0
2023-10-11,2,240.0,520,43865.0
2023-10-15,4,120.0,524,43985.0
2023-10-19,5,225.0,529,44210.0
2023-10-23,3,210.0,532,44420.0
2023-10-27,3,450.0,535,44870.0
2023-10-31,5,175.0,540,45045.0
2023-11-03,3,150.0,543,45195.0
2023-11-07,6,240.0,549,45435.0
2023-11-11,2,240.0,551,45675.0
2023-11-15,4,120.0,555,45795.0
2023-11-19,5,225.0,560,46020.0
2023-11-23,3,210.0,563,46230.0
2023-11-27,3,450.0,566,46680.0
2023-12-03,3,150.0,569,46830.0
2023-12-07,6,240.0,575,47070.0
2023-12-11,2,240.0,577,47310.0
2023-12-15,4,120.0,581,47430.0
2023-12-19,5,225.0,586,47655.0
2023-12-23,3,210.0,589,47865.0
2023-12-27,3,450.0,592,48315.0
2023-12-31,5,175.0,597,48490.0
2024-01-01,3,150.0,600,48640.0
2024-01-02,5,150.0,605,48790.0
2024-01-03,8,380.0,613,49170.0
2024-01-04,4,140.0,617,49310.0
2024-01-05,6,240.0,623,49550.0
2024-01-07,6,240.0,629,49790.0
2024-01-11,2,240.0,631,50030.0
2024-01-15,4,120.0,635,50150.0
2024-01-19,5,225.0,640,50375.0
2024-01-23,3,210.0,643,50585.0
2024-01-27,3,450.0,646,51035.0
2024-01-31,5,175.0,651,51210.0
