Date,TotalSalesQuantity,TotalSalesAmount,RunningTotalSalesQuantity,RunningTotalSalesAmount
2023-08-02,15,1200.0,15,1200.0
2023-08-03,12,480.0,27,1680.0
2023-08-05,20,600.0,47,2280.0
2023-08-06,25,500.0,72,2780.0
2023-08-08,10,600.0,82,3380.0
2023-08-09,30,750.0,112,4130.0
2023-08-11,18,900.0,130,5030.0
2023-08-12,22,330.0,152,5360.0
2023-08-14,15,450.0,167,5810.0
2023-08-15,3,2400.0,170,8210.0
2023-08-17,8,400.0,178,8610.0
2023-08-18,2,400.0,180,9010.0
2023-08-20,20,200.0,200,9210.0
2023-08-21,12,480.0,212,9690.0
2023-08-23,4,400.0,216,10090.0
